producto,precioUnitario,talla,cantidad,vendedor,fecha,total
camisa polo de hombre slim fit manga corta con textura bordado de pato en algodón,150000.0,M,1.0,Harold Mejia,2026-02-18,150000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,S,4.0,ALDERNEY RAMIREZ,2026-01-16,6000000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,,M,5.0,Brahian Lopera,2026-01-10,2450000
 Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón ,150000.0,XS,1.0,Daniel Arias,2026-02-09,150000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,medio,3.0,Pablo Serna,2026-01-26,1470000
 Camiseta Polo M/C ,98000.0,M,1.0,Alderney Ramirez,2026-02-18,98000
 Camiseta Polo M/C ,98000.0,L,2.0,Angie Saldarriaga,2026-01-29,196000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,XXXL,-1.0,Harold Mejia,2026-02-23,357000
Camiseta Polo M/C,98000.0,XXL,1.0,KEVIN VILLEGAS,2026-02-05,98000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XS,2.0,Pablo Serna,2026-02-06,1221
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,,M,2.0,Alderney Ramirez,2026-02-17,220000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,XL,1.0,Kevin Villegas,2026-01-06,1960
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,L,4.0,Jessica Mora,2026-02-16,3426
Camiseta Polo M/C,98000.0,XXXL,3.0,KEVIN VILLEGAS,2026-01-11,294000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,XXL,0.0,Harold Mejia,2026-01-05,3400000
jean de hombre skinny fit tiro medio lavado oscuro clásico con raspones en mezcla de algodón famous,490000.0,XXL,3.0,Angie Saldarriaga,2026-02-04,1470000
Camiseta Polo M/C,98000.0,medio,1.0,Jessica Mora,2026-02-08,98000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,XXXL,5.0,JESSICA MORA,2026-02-24,3400000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,XL,3.0,Harold Mejia,2026-03-01,1071000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,,L,1.0,Brahian Lopera,2026-01-29,1500000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,medio,4.0,Jessica Mora,2026-02-22,800000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,L,1.0,Pablo Serna,2026-01-31,2658
camisa polo de hombre classic fit cuello nerú manga corta textura piqué jacquard en algodón,200000.0,XL,3.0,Kevin Villegas,2026-02-11,600000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,,XXXL,2.0,Angie Saldarriaga,2026-01-17,1360000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,XXXL,4.0,Jessica Mora,13/01/Y,440000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,medio,3.0,Daniel Arias,2026-02-20,450000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XXL,4.0,Jessica Mora,02/01/Y,3280000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XXL,1.0,Kevin Villegas,2026-01-26,820000
 Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón ,200000.0,XXXL,2.0,Brahian Lopera,2026-02-27,400000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,L,,Alderney Ramirez,2026-02-18,440000
chaqueta de hombre bomber acolchada rombos y gráficos bordados en mezcla de algodón y poliéster,1500000.0,XXL,1.0,Jessica Mora,2026-02-23,1500000
camiseta polo m/c,98000.0,S,2.0,Angie Saldarriaga,2026-02-20,196000
Camiseta Polo M/C,,XXL,1.0,Kevin Villegas,2026-02-08,98000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,,L,2.0,Jessica Mora,2026-02-17,300000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XXXL,5.0,BRAHIAN LOPERA,2026-02-19,4100000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,XXXL,4.0,Harold Mejia,2026-01-12,4268
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,XXXL,2.0,HAROLD MEJIA,2026-01-12,300000
Camiseta Polo M/C,98000.0,medio,2.0,Daniel Arias,2026-02-16,196000
 Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous ,490000.0,XL,2.0,Daniel Arias,2026-01-30,980000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,XS,1.0,Angie Saldarriaga,08/01/Y,357000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,L,1.0,ALDERNEY RAMIREZ,2026-03-03,200000
 Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón ,150000.0,XL,5.0,Brahian Lopera,2026-03-03,750000
 Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón ,110000.0,L,4.0,Alderney Ramirez,2026-02-16,440000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,XXXL,3.0,Alderney Ramirez,03/01/Y,2040000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,S,3.0,Jessica Mora,13/01/Y,4500000
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,XXL,4.0,BRAHIAN LOPERA,2026-02-26,820000
chaqueta de hombre bomber acolchada rombos y gráficos bordados en mezcla de algodón y poliéster,1500000.0,XL,2.0,Harold Mejia,2026-01-18,3000000
 Camiseta Polo M/C ,98000.0,XS,4.0,Jessica Mora,2026-02-23,392000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,L,4.0,Jessica Mora,23/02/Y,1428000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,XXL,-1.0,Brahian Lopera,2026-02-14,550000
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,XL,5.0,Harold Mejia,2026-01-18,3407
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,XL,1.0,Angie Saldarriaga,08/01/Y,680000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,L,1.0,Jessica Mora,25/01/Y,490000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,XL,3.0,DANIEL ARIAS,2026-01-29,1470000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,XL,5.0,KEVIN VILLEGAS,2026-01-10,550000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,XL,-1.0,Brahian Lopera,2026-01-23,200000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,L,,Harold Mejia,2026-02-18,550000
Chaqueta Tipo Trucker en Denim para Hombre,,L,1.0,Alderney Ramirez,2026-02-26,820000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,L,4.0,Brahian Lopera,2026-02-17,2738
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XXL,-1.0,Daniel Arias,2026-02-27,1640000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,XL,3.0,ALDERNEY RAMIREZ,2026-02-08,330000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,XS,4.0,Kevin Villegas,30/01/Y,2720000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,XL,4.0,ALDERNEY RAMIREZ,2026-02-08,1428000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,,S,1.0,Kevin Villegas,2026-02-05,110000
 Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster ,1500000.0,M,1.0,Alderney Ramirez,2026-01-30,1500000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,S,5.0,BRAHIAN LOPERA,2026-01-16,4100000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,S,-1.0,Brahian Lopera,2026-01-27,4100000
 Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster ,680000.0,L,5.0,Harold Mejia,2026-01-20,3400000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,XS,0.0,Kevin Villegas,2026-02-27,7500000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,XXL,4.0,Brahian Lopera,2026-01-09,4574
chaqueta tipo trucker en denim para hombre,820000.0,XS,4.0,Daniel Arias,2026-01-06,3280000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,,XS,4.0,Daniel Arias,2026-02-14,440000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,M,4.0,PABLO SERNA,2026-02-18,2720000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,XL,3.0,Jessica Mora,01/02/Y,1071000
 Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón ,205000.0,S,2.0,Brahian Lopera,2026-01-09,410000
 Camiseta Polo M/C ,98000.0,XXL,5.0,Angie Saldarriaga,2026-02-14,490000
camisa polo de hombre slim fit cuello nerú manga corta sesgos en contraste en mezcla de algodón,110000.0,XL,4.0,Jessica Mora,2026-02-09,440000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,,M,4.0,Angie Saldarriaga,2026-02-27,800000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,XXL,1.0,Pablo Serna,03/03/Y,1500000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,L,2.0,KEVIN VILLEGAS,2026-02-11,714000
Camiseta Polo M/C,98000.0,L,0.0,Angie Saldarriaga,2026-01-04,196000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,XXXL,1.0,Pablo Serna,2026-01-16,3807
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,S,4.0,Harold Mejia,16/01/Y,3280000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,XXL,1.0,Kevin Villegas,09/02/Y,490000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,medio,3.0,Daniel Arias,2026-02-28,2460000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,L,,Brahian Lopera,2026-01-14,550000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,M,-1.0,Brahian Lopera,2026-01-02,980000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,XXL,2.0,Jessica Mora,09/01/Y,980000
 Camiseta Polo M/C ,98000.0,S,3.0,Brahian Lopera,2026-02-14,294000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,S,2.0,ANGIE SALDARRIAGA,2026-02-13,980000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XXL,3.0,Kevin Villegas,2026-02-07,2460000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,XXL,5.0,Angie Saldarriaga,2026-03-03,2450000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,L,3.0,Harold Mejia,2026-01-21,1071000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XS,2.0,Alderney Ramirez,2026-02-01,4413
 Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón ,110000.0,S,4.0,Pablo Serna,2026-01-04,440000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,,XL,5.0,Pablo Serna,2026-01-25,3400000
camisa polo de hombre classic fit cuello nerú manga corta textura piqué jacquard en algodón,200000.0,M,2.0,Harold Mejia,2026-02-25,400000
chaqueta de hombre bomber acolchada rombos y gráficos bordados en mezcla de algodón y poliéster,1500000.0,XXL,4.0,Alderney Ramirez,2026-01-18,6000000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,L,0.0,Angie Saldarriaga,2026-03-01,714000
camisa polo de hombre slim fit cuello nerú manga corta sesgos en contraste en mezcla de algodón,110000.0,XS,3.0,Jessica Mora,2026-02-27,330000
jean de hombre rider skinny fit tiro bajo lavado medio rotos detalles en costuras en mezcla de algodón,357000.0,L,1.0,Angie Saldarriaga,2026-02-28,357000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,S,4.0,Harold Mejia,2026-01-23,1960000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,XXXL,5.0,Angie Saldarriaga,26/02/Y,1785000
 Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster ,680000.0,XL,5.0,Pablo Serna,2026-01-14,3400000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,S,4.0,Angie Saldarriaga,2026-01-22,4970
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,XS,5.0,Alderney Ramirez,2026-01-19,2871
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,M,2.0,Alderney Ramirez,2026-02-02,1640000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,,XXL,3.0,Kevin Villegas,2026-02-08,1470000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,S,1.0,Angie Saldarriaga,2026-02-13,3828
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,XS,3.0,Kevin Villegas,2026-02-11,3527
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,L,0.0,Pablo Serna,2026-02-23,3280000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,M,0.0,Brahian Lopera,2026-03-03,6000000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,medio,5.0,Angie Saldarriaga,2026-02-19,2450000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,medio,5.0,Brahian Lopera,2026-02-21,750000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,XS,3.0,ALDERNEY RAMIREZ,2026-01-24,600000
chaqueta tipo trucker en denim para hombre,820000.0,M,3.0,Pablo Serna,2026-01-05,2460000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,medio,5.0,Harold Mejia,2026-01-04,550000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,M,5.0,PABLO SERNA,2026-01-16,1785000
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,XXL,5.0,PABLO SERNA,2026-01-28,1025000
Chaqueta Tipo Trucker en Denim para Hombre,,XXL,4.0,Daniel Arias,2026-02-13,3280000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,medio,3.0,Angie Saldarriaga,2026-01-11,2460000
Camiseta Polo M/C,98000.0,medio,3.0,Angie Saldarriaga,2026-01-23,294000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,L,3.0,Alderney Ramirez,09/02/Y,330000
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,,S,4.0,Kevin Villegas,2026-01-26,820000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,XXXL,1.0,Harold Mejia,10/01/Y,490000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,XS,2.0,Pablo Serna,2026-02-13,3000000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,M,3.0,Jessica Mora,2026-02-11,1071000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,XXXL,,Jessica Mora,2026-02-21,1470000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,L,5.0,Pablo Serna,2026-01-21,7500000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,S,5.0,ANGIE SALDARRIAGA,2026-02-07,4100000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,medio,4.0,Harold Mejia,2026-02-18,1960000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,M,0.0,Harold Mejia,2026-02-06,6000000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,XS,,Brahian Lopera,2026-01-28,800000
Chaqueta Tipo Trucker en Denim para Hombre,,XL,5.0,Kevin Villegas,2026-01-09,4100000
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,XS,2.0,Daniel Arias,2026-02-02,2571
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,XL,1.0,Daniel Arias,26/01/Y,357000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,medio,1.0,Daniel Arias,2026-01-02,150000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XL,5.0,HAROLD MEJIA,2026-01-19,4100000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,,XXL,4.0,Angie Saldarriaga,2026-01-16,440000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,S,,Angie Saldarriaga,2026-02-15,6000000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,XS,3.0,Jessica Mora,2026-01-24,4986
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,medio,2.0,Kevin Villegas,2026-01-30,410000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,,XL,4.0,Alderney Ramirez,2026-02-01,1960000
Camiseta Polo M/C,98000.0,XXXL,3.0,Pablo Serna,2026-02-17,294000
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,M,,Daniel Arias,2026-02-01,1025000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,XXXL,5.0,Alderney Ramirez,20/01/Y,1785000
camisa polo de hombre slim fit manga corta con textura bordado de pato en algodón,150000.0,XXXL,1.0,Angie Saldarriaga,2026-02-06,150000
 Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón ,150000.0,XL,2.0,Harold Mejia,2026-03-03,300000
 Chaqueta Tipo Trucker en Denim para Hombre ,820000.0,XS,2.0,Harold Mejia,2026-01-23,1640000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,L,3.0,Brahian Lopera,2026-01-24,2897
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,XXXL,0.0,Alderney Ramirez,2026-01-18,357000
camisa polo de hombre slim fit cuello nerú manga corta sesgos en contraste en mezcla de algodón,110000.0,XS,4.0,Brahian Lopera,2026-01-30,440000
jean de hombre skinny fit tiro medio lavado oscuro clásico con raspones en mezcla de algodón famous,490000.0,XXL,4.0,Angie Saldarriaga,2026-01-02,1960000
chaqueta tipo trucker en denim para hombre,820000.0,S,2.0,Pablo Serna,2026-01-03,1640000
Chaqueta Tipo Trucker en Denim para Hombre,,S,5.0,Kevin Villegas,2026-02-06,4100000
Chaqueta Tipo Trucker en Denim para Hombre,,XXXL,1.0,Daniel Arias,2026-02-10,820000
camisa polo de hombre slim fit manga corta con textura bordado de pato en algodón,150000.0,XXL,3.0,Jessica Mora,2026-01-20,450000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,,L,1.0,Kevin Villegas,2026-02-10,357000
 Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón ,150000.0,XXXL,4.0,Pablo Serna,2026-01-22,600000
 Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón ,205000.0,XXXL,2.0,Kevin Villegas,2026-02-14,410000
camisa polo de hombre slim fit manga corta con textura bordado de pato en algodón,150000.0,XXXL,1.0,Daniel Arias,2026-01-09,150000
Chaqueta Tipo Trucker en Denim para Hombre,,S,4.0,Alderney Ramirez,2026-03-01,3280000
jean de hombre skinny fit tiro medio lavado oscuro clásico con raspones en mezcla de algodón famous,490000.0,L,3.0,Daniel Arias,2026-02-13,1470000
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,XL,3.0,KEVIN VILLEGAS,2026-01-08,615000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,XXL,-1.0,Angie Saldarriaga,2026-01-18,200000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,XS,4.0,Brahian Lopera,01/02/Y,1428000
 Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón ,150000.0,S,5.0,Harold Mejia,2026-02-24,750000
 Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster ,680000.0,S,3.0,Harold Mejia,2026-02-25,2040000
chaqueta de hombre bomber acolchada rombos y gráficos bordados en mezcla de algodón y poliéster,1500000.0,L,5.0,Alderney Ramirez,2026-02-25,7500000
 Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón ,205000.0,S,3.0,Harold Mejia,2026-01-27,615000
camisa polo de hombre slim fit manga corta con textura bordado de pato en algodón,150000.0,L,2.0,Daniel Arias,2026-02-11,300000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,L,2.0,JESSICA MORA,2026-02-17,714000
